MatchKey,DensityFile,SalinityFile,TemperatureFile,MeanDensity,MeanLabTemperature,MeanDensitySalinity,MeanInterpolatedSalinity,MeanInterpolatedTemperature,DensityIceThickness,SalinityIceThickness,TemperatureIceThickness,DensityFreeboard,MaxDensityDepth,MaxSalinityDepth,MaxTemperatureDepth
Q1_2021_M2,Q1_2021_M2_main_density.csv,Q1_2021_M2_main_salinity.csv,Q1_2021_M2_main_temperature.csv,913.080076091666,20.7,5.10833333333333,5.10892713365539,-3.88230072463768,0.58,0.59,0.57,0,0.575,0.55,57
Q1_2021_NLEG6,Q1_2021_NLEG6_main_density.csv,Q1_2021_NLEG6_main_salinity.csv,Q1_2021_NLEG6_main_temperature.csv,916.482503185714,NaN,NaN,6.64440917107584,-5.54479717813051,0.43,0.41,0.43,0.02,0.405,0.415,42.5
Q1_2021_P2,Q1_2021_P2_main_density.csv,Q1_2021_P2_main_salinity.csv,Q1_2021_P2_main_temperature.csv,899.680334273684,NaN,NaN,5.0656364749082,-2.77650856793146,1.33,0.695,1.125,0.05,1.29,0.675,1.125
Q1_2021_P4,Q1_2021_P4_main_density.csv,Q1_2021_P4_main_salinity.csv,Q1_2021_P4_main_temperature.csv,912.501259314286,21.2428571428571,7.4,5.01425396825397,-4.42869841269841,0.47,0.495,0.49,0,0.45,0.48,0.455
Q1_2021_P4,Q1_2021_P4_ramses_density.csv,Q1_2021_P4_main_salinity.csv,Q1_2021_P4_main_temperature.csv,904.506639733333,NaN,NaN,5.03360656714639,-4.40132743362832,0.58,0.495,0.49,0.01,0.565,0.48,0.455
Q1_2021_P5,Q1_2021_P5_main_density.csv,Q1_2021_P5_main_salinity.csv,Q1_2021_P5_main_temperature.csv,913.46381226,19.75,6.63,6.07645987478657,-4.92633665338645,0.64,0.64,0.655,0.01,0.6275,0.65,0.63
Q1_2021_P6,Q1_2021_P6_main_density.csv,Q1_2021_P6_main_salinity.csv,Q1_2021_P6_main_temperature.csv,906.048910033333,NaN,NaN,4.75753424657534,-4.94623287671233,0.39,0.395,0.33,0,0.365,0.375,0.325
Q1_2021_P7,Q1_2021_P7_main_density.csv,Q1_2021_P7_main_salinity.csv,Q1_2021_P7_main_temperature.csv,917.990546528571,NaN,NaN,6.75219903691814,-8.68314606741573,0.46,0.45,0.46,0.03,0.445,0.43,0.47
Q1_2021_P7,Q1_2021_P7_site2_density.csv,Q1_2021_P7_main_salinity.csv,Q1_2021_P7_main_temperature.csv,912.352653944444,19.9444444444444,4.8,6.64574364332985,-8.8079214559387,0.6,0.45,0.46,0.04,0.58,0.43,0.47
Q2_2021_P3,Q2_2021_P3_main_density.csv,Q2_2021_P3_main_salinity.csv,Q2_2021_P3_main_temperature.csv,911.027349966667,20.0916666666667,5.80833333333333,5.21540626131017,-3.14269543973941,0.795,0.72,0.74,0.01,0.7675,0.72,0.755
Q2_2021_P3,Q2_2021_P3_site2_density.csv,Q2_2021_P3_main_salinity.csv,Q2_2021_P3_main_temperature.csv,906.81369116,20.74,8,5.14347368421053,-3.05475438596491,0.32,0.72,0.74,0.01,0.285,0.72,0.755
Q2_2021_P4,Q2_2021_P4_ROV_density.csv,Q2_2021_P4_main_salinity.csv,Q2_2021_P4_main_temperature.csv,905.419750266667,NaN,NaN,6.94803921568627,-2.91705882352941,0.17,0.16,0.16,0.01,0.17,0.175,0.155
Q2_2021_P4,Q2_2021_P4_main_density.csv,Q2_2021_P4_main_salinity.csv,Q2_2021_P4_main_temperature.csv,908.595099033333,NaN,NaN,6.9,-2.90545454545455,0.18,0.16,0.16,0.01,0.165,0.175,0.155
Q2_2021_P5,Q2_2021_P5_main_density.csv,Q2_2021_P5_main_salinity.csv,Q2_2021_P5_main_temperature.csv,906.16204215,NaN,NaN,6.74405263157895,-3.11402976190476,0.525,0.49,0.49,0.02,0.525,0.42,0.485
Q2_2021_P6,Q2_2021_P6_main_density.csv,Q2_2021_P6_main_salinity.csv,Q2_2021_P6_main_temperature.csv,909.598230988889,20.1222222222222,4.87777777777778,5.54934675141243,-3.05717161016949,1.18,1.055,1.055,0.075,1.18,0.975,1.085
Q2_2021_P6,Q2_2021_P6_optics_density.csv,Q2_2021_P6_main_salinity.csv,Q2_2021_P6_main_temperature.csv,909.535803923077,18.8692307692308,4.99230769230769,5.47630769230769,-3.07738461538462,0.875,1.055,1.055,0.075,0.875,0.975,1.085
Q2_2021_P7,Q2_2021_P7_main_density.csv,Q2_2021_P7_main_salinity.csv,Q2_2021_P7_main_temperature.csv,915.693793021052,NaN,NaN,6.07112872542803,-5.01085334639995,1.245,1.22,1.23,0.105,1.245,1.23,1.255
