DensityFile,DensityFolder,Time,Lon,Lat,SnowThickness,Freeboard,IceThickness,MinDepth,MaxDepth,LabTemperature,DensitySalinity,Density,DensityDepth,InterpolatedSalinity,InterpolatedTemperature,SalinityFile,TemperatureFile,SalinityIceThickness,TemperatureIceThickness
Q2_2021_P3_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,03-May-2021 17:49:00,33.997583,78.752917,0.11,0.01,0.795,0.56,0.63,21.4,4.5,919.3133428,0.595,5.64276872964169,-2.59845276872964,Q2_2021_P3_main_salinity.csv,Q2_2021_P3_main_temperature.csv,0.72,0.74
Q2_2021_P3_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,03-May-2021 17:49:00,33.997583,78.752917,0.11,0.01,0.795,0.63,0.69,19.5,3.9,920.0245384,0.66,5.21592833876222,-2.30299674267101,Q2_2021_P3_main_salinity.csv,Q2_2021_P3_main_temperature.csv,0.72,0.74
Q2_2021_P3_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,03-May-2021 17:49:00,33.997583,78.752917,0.11,0.01,0.795,0.69,0.74,20.2,4.5,920.2938413,0.715,5.17785016286645,-2.08657980456026,Q2_2021_P3_main_salinity.csv,Q2_2021_P3_main_temperature.csv,0.72,0.74
Q2_2021_P3_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,03-May-2021 17:49:00,33.997583,78.752917,0.11,0.01,0.795,0.74,0.795,20.8,5.4,920.8026345,0.7675,5.6,-1.9,Q2_2021_P3_main_salinity.csv,Q2_2021_P3_main_temperature.csv,0.72,0.74
Q2_2021_P3_site2_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,03-May-2021 17:49:00,33.997583,78.752917,0.11,0.01,0.32,0,0.07,19.8,12.8,894.1042025,0.035,4.93894736842105,-4.06456140350877,Q2_2021_P3_main_salinity.csv,Q2_2021_P3_main_temperature.csv,0.72,0.74
Q2_2021_P3_site2_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,03-May-2021 17:49:00,33.997583,78.752917,0.11,0.01,0.32,0.07,0.14,21.2,9.2,912.0218552,0.105,5.72526315789474,-3.64052631578947,Q2_2021_P3_main_salinity.csv,Q2_2021_P3_main_temperature.csv,0.72,0.74
Q2_2021_P3_site2_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,03-May-2021 17:49:00,33.997583,78.752917,0.11,0.01,0.32,0.14,0.2,22.4,7,910.8376839,0.17,3.88210526315789,-3.12394736842105,Q2_2021_P3_main_salinity.csv,Q2_2021_P3_main_temperature.csv,0.72,0.74
Q2_2021_P3_site2_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,03-May-2021 17:49:00,33.997583,78.752917,0.11,0.01,0.32,0.2,0.25,19.9,5.9,904.76425,0.225,5.57105263157895,-2.54473684210526,Q2_2021_P3_main_salinity.csv,Q2_2021_P3_main_temperature.csv,0.72,0.74
Q2_2021_P3_site2_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,03-May-2021 17:49:00,33.997583,78.752917,0.11,0.01,0.32,0.25,0.32,20.4,5.1,912.3404642,0.285,5.6,-1.9,Q2_2021_P3_main_salinity.csv,Q2_2021_P3_main_temperature.csv,0.72,0.74
Q2_2021_P4_ROV_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,05-May-2021 00:00:00,33.5265,79.6782,0.07,0.01,0.17,0,0.07,NaN,NaN,903.1210267,0.035,8.30147058823529,-3.41705882352941,Q2_2021_P4_main_salinity.csv,Q2_2021_P4_main_temperature.csv,0.16,0.16
